mate mates
bite bites
draggle draggled
average averaged
boy boys
outhouse outhouses
ripple rippling
ribbon ribbons
payment payments
marauders marauders
rebel rebels
respond responding
robe robes
outline outlines
roam roamed
misdemeanor misdemeanors
representation representations
poke poked
coil coils
assail assailed
disburden disburdened
battle battles
conjuration conjuration
ambuscade ambuscade
wheedling wheedlingly
solicitate solicitation
smother smothered
unpleasant unpleasantly
vigil vigils
squirrel squirrels
wash washes
soar soars
unnumbered unnumbered
clash clashed
undervalue undervalued
streamlet streamlet
unrest unrested
uncoil uncoiled
warranty warranties
yearning yearnings
unalter unaltered
cagelike cagelike
donation donations
crate crates
cricket crickets
adjust adjusting
bruise bruises
neighbour neighbor
wen wen
clamor clamor
delight delights
circle circles
stoppage stoppages
tich tich
rope ropes
send sending
unutter unuttered
cadence cadences
debt debts
bundle bundles
yelp yelping
tow towed
shut shutting
jolt jolted
despatch despatches
regain regained
stream streamed
nomad nomadic
contend contended
bicker bickered
whirl whirled
stroke strokes
cottage cottages
drown drowned
